id,user_id,name,workout_text,result,notes,date,wod_type,time_cap_minutes,emom_interval,emom_duration
9,1,cindy,1 pullup,1,,2026-04-01,,,,
11,1,,pushups,10 rounds,,2026-02-20,AMRAP,15,,
12,1,rachel,10 pushups every 2min,completed at 10min,,2026-02-19,EMOM,,2,20
14,2,Bend and snap,"6 unbroken power snatch @25kg
9 V-ups",4 rounds,power snatch feels quite smooth!,2026-04-06,AMRAP,6,,
16,2,,"4 RFT
16 burpees 
12 Toes to Bar 
12 dual dumbbell box step overs (10kg db, 20inch box)",19:23,so happy i managed to do all 12 TTB every round!,2026-04-14,For Time,20,,
